Journal,IF (JCR year 2024),IF (5 yr),H5-index,Publisher,Publishing Model,Subject Area (tags),Aims & Scope,Content Tags,
International Journal of Environmental Research and Public Health,,,258,MDPI,Open access,"public health, environment, international",https://www.mdpi.com/journal/ijerph/about,,Clarivate stopped indexing in 2021
International Journal of Epidemiology,5.9,8.3,86,Oxford University Press,Hybrid,"epidemiology, international",https://academic.oup.com/ije/pages/About,,
International Journal of Health Policy and Management,5.1,4.7,7,Kerman University of Medical Sciences,Open access,"public health, pa-policy, international",,,
International Journal of Health Promotion and Education,0.7,1,17,Taylor & Francis,Hybrid,"public health, international",,,
International Journal of Hygiene and Environmental Health,4.4,4.9,61,Elsevier,Open access,"public health, environment, international",,,
International Journal of Mass Emergencies and Disasters,,,,Sage,Hybrid,"disaster medicine, international, emergency medicine",,,
International Journal of Natural Disasters & Health Security,,,,SciDoc Publishers,Open access,"disaster medicine, international, emergency medicine",,,
International Journal of Preventive Medicine,1.5,2.3,34,Lippincott,Open access,"public health, international",,,
International Journal of Public Administration,2.1,2.5,48,Taylor & Francis,Hybrid,"international, public administration, pa-policy",,,
International Journal of Qualitative Methods,3.8,6.2,83,Sage,Open access,"general science, international",https://journals.sagepub.com/overview-metric/IJQ,qualitative studies,
International Journal of Risk & Safety in Medicine: Patient Safety - Pharmacovigilance - Liability,0.8,0.9,16,Sage and IOS Press,Hybrid,"international, Emergency management, public health",https://journals.sagepub.com/home/JRK,,
International Journal of Risk and Contingency Management,,,,IGI Global,Open access,"international, Emergency management",https://www.igi-global.com/journal/international-journal-risk-contingency-management/53135#description,,
International Journal of Science Education,2.3,3.3,49,Taylor & Francis,Hybrid,"general science, international",https://www.tandfonline.com/journals/tsed20/about-this-journal#aims-and-scope,"trainings, exercises, HSEEP",
International Journal of Science Education Part B: Communication and Public Engagement,1.8,1.6,20,Taylor & Francis,Hybrid,"general science, international",https://www.tandfonline.com/journals/rsed20/about-this-journal#aims-and-scope,,
International Journal of Wildland Fire,2.9,3.4,36,CSIRO,Open access,"international, Emergency management",https://www.publish.csiro.au/wf/AbouttheJournal,,
International Public Management Journal,3,3.2,32,Taylor & Francis,Hybrid,"international, government, pa-policy",,,
International Review of Administrative Sciences,2.6,3.1,39,Sage,Hybrid,"international, public administration, pa-policy",,,
Jàmbá: Journal of Disaster Risk Studies,1.7,2.1,23,AOSIS,Open access,"international, Emergency management",https://jamba.org.za/index.php/jamba/pages/view/journal-information,,
Journal of Ambulatory Care Management,1.2,1.1,14,Lippincott,Hybrid,public health,https://journals.lww.com/ambulatorycaremanagement/Pages/aboutthejournal.aspx,CHWs,
Journal of Applied Volcanology,,,,Springer,Open access,"environment, emergency management",,,
Journal of Business Continuity & Emergency Planning,,,11,Henry Stewart Publications,Subscription,emergency management,,,
Journal of Child & Adolescent Trauma,2,2.6,34,Springer,Hybrid,mental health,https://link.springer.com/journal/40653/aims-and-scope,trauma,
Journal of Climate,4,4.9,75,American Meterological Society,Hybrid,environment,,,
Journal of Climate Change,0.6,0.6,8,Cerebration Science Publishing,Open access,environment,https://cspub-jcc.org/index.php/jcc,,
Journal of Climate Change and Health,3.6,5.2,35,Elsevier,Hybrid,"disaster medicine, environment, emergency medicine",,,
Journal of Clinical Epidemiology,5.2,7.5,81,Elsevier,Hybrid,epidemiology,,,
Journal of College Student Development,1.3,2.5,34,Johns Hopkins University Press,Hybrid,higher ed,,,
Journal of Community Health,2.2,3,53,Springer,Hybrid,community health,https://link.springer.com/journal/10900/aims-and-scope,CHWs,
Journal of Community Health Nursing,0.9,1.2,12,Taylor & Francis,Hybrid,community health,https://www.tandfonline.com/journals/hchn20/about-this-journal#aims-and-scope,,Publishing group listed as predatory in Beall's list
Journal of Contingencies and Crisis Management,2.2,2.9,34,Wiley,Hybrid,emergency management,https://onlinelibrary.wiley.com/page/journal/14685973/homepage/productinformation.html,,
Journal of Disaster Research,0.7,0.8,17,Fuji Technology Press,Open access,emergency management,https://www.fujipress.jp/jdr/dr-about/,,
Journal of Disaster Studies,,,,University of Pennsylvania Press,Open access,emergency management,,,
Journal of Dynamic Disasters,,,,KeAI Publishing,Open access,emergency management,,,
"Journal of Emergencies, Trauma, and Shock",0.7,1.3,17,Lippincott,Open access,emergency medicine,https://journals.lww.com/onlinejets/pages/aboutthejournal.aspx,trauma,
Journal of Emergency and Critical Care Medicine,,,10,AME,Open access,emergency medicine,https://jeccm.amegroups.org/about,,
Journal of Emergency Management,,,14,Weston Medical Publishers,Hybrid,emergency management,,,
Journal of Emergency Medicine,1.3,1.4,38,Elsevier,Hybrid,emergency medicine,https://www.jem-journal.com/content/aims,,
Journal of Emergency Nursing,2.3,2.4,33,Elsevier,Hybrid,emergency medicine,https://www.jenonline.org/content/aims,,
Journal of Environmental Health,1,1,9,NEHA,Open access,environment,https://www.neha.org/contributors,,
Journal of Environmental Management,8.4,8.6,184,Elsevier,Hybrid,environment,https://www.sciencedirect.com/journal/journal-of-environment-management,,
Journal of Epidemiology and Community Health,3.7,4.4,64,BMJ,Hybrid,"epidemiology, community health",https://jech.bmj.com/pages/about,,
Journal of Epidemiology and Global Health,3.1,6.1,35,Springer,Hybrid,epidemiology,https://link.springer.com/journal/44197/aims-and-scope,,
Journal of Exposure Science and Environmental Epidemiology,4.7,5.4,50,Springer,Hybrid,"epidemiology, environment",,,
Journal of Extreme Events,,,,World Scientific,Open access,"environment, emergency management",,,
Journal of Flood Risk Management,3.5,3.8,42,Wiley,Open access,"environment, emergency management",https://onlinelibrary.wiley.com/page/journal/1753318x/homepage/productinformation.html,,
Journal of Geography & Natural Disasters,,,,Longdom Publishing SL,Open access,"environment, emergency management",,,
Journal of Hazard Literacy,,,,"Hazard Literacy Center, Ewha Womans University (South Korea)",Open access,"environment, emergency management",,,
Journal of Health Economics,3.6,4.1,53,Elsevier,Open access,public health,,,
"Journal of Health Politics, Policy and Law",2.8,2.6,25,Duke University Press,Subscription,"public health, health policy, pa-policy",https://read.dukeupress.edu/jhppl/pages/About,,Publishing group listed as predatory in Beall's list
Journal of Higher Education,2.4,3.7,42,Taylor & Francis,Hybrid,higher ed,,,
Journal of Homeland Security and Emergency Management,1,1,,de Gruyter,Subscription,emergency management,https://www.degruyter.com/journal/key/jhsem/html?lang=en,,
Journal of Integrated Disaster Risk Management,,,,Integrated Disaster Risk Management Society,Open access,emergency management,,,
Journal of International Crisis and Risk Communication Research ,,,7,Netherlands Press (in association with International Crisis and Risk Conference),Open access,emergency management,,,
Journal of Latin American Studies on Disaster Risk Reduction (REDER),,,,GRID-Chile,Open access,"international, Emergency management",,,
Journal of Loss and Trauma,2.1,2.1,35,Taylor & Francis,Hybrid,mental health,https://www.tandfonline.com/journals/upil20/about-this-journal#aims-and-scope,trauma,
Journal of Disaster Science and Management,,,,Japan Society for Natural Disaster Science and Korean Society of Hazard Mitigation,Open access,"environment, emergency management",,,Formerly Journal of Natural Disaster Science
